name,salary,currency,experience,location,link,skills
Администратор Битрикс24,120000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127524795,"PHP, Битрикс24, Администрирование"
Разработчик моделей глубокого обучения,90000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/128091814,"Deep Learning, Python, Git, PyTorch, SOLID, Английский — B2 — Средне-продвинутый"
FP&A менеджер,800000,KZT,3–6,Астана / Казахстан,https://hh.ru/vacancy/127817263,"MS PowerPoint, МСФО, Управленческая отчетность, Финансовый контроль, Финансовый анализ, Аналитическое мышление, Финансовая отчетность, Анализ данных, Бюджетирование, Финансовое планирование, Анализ финансовых показателей, Английский язык, Leadership Skills, Консолидация финансовой отчетности, Стратегический анализ, Английский — B1 — Средний, Русский — C2 — В совершенстве"
Технический специалист отдела продаж / Junior Sales Engineer (подготовка технических решений),400000,KZT,1–3,Алматы / Казахстан,https://hh.ru/vacancy/127975298,
Junior Разработчик / Младший Разработчик,40000,RUB,1–3,Омск / Россия,https://hh.ru/vacancy/127323232,"JavaScript, Git, SQL, PostgreSQL, Аналитическое мышление, Деловая коммуникация, Веб-программирование"
Менеджер по продажам,80000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127997039,"Ведение переговоров, Заключение договоров, B2B Продажи, Продажа комплексных проектов, Деловая коммуникация, Управление отношениями с клиентами, Прямые продажи, 1С: Документооборот, 1С-Битрикс, Контроль дебиторской задолженности, Развитие ключевых клиентов, Согласование договоров"
Функциональный архитектор 1С,420000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/128045471,1C: ERP
Product Manager (Астана),350000,KZT,1–3,Астана / Казахстан,https://hh.ru/vacancy/127721174,
Data scientist (NLP) middle,230000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127363992,"Python, Big Data, Hadoop, SQL, Spark, NLTK"
Финансовый аналитик,160000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127359461,"NPV, MS Excel, DCF, P&L, SQL, Redash"
Специалист по ИИ,200000,KZT,3–6,Алматы / Казахстан,https://hh.ru/vacancy/128164974,"Искусственный интеллект, ИИ, Инженер, Новые технологии"
Финансовый аналитик,200000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/122078487,"Аналитическое мышление, Английский язык, Power BI, Работа с большим объемом информации, Бюджетирование, MS Excel, P&L, Английский — B2 — Средне-продвинутый"
Руководитель группы контроля качества данных (Data Quality Team Lead),90000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/128058944,"Управление командой, Английский язык, Управление временем, Управление процессами, Обучение и развитие, Контроль качества, Анализ данных, Деловая коммуникация, Руководство коллективом, Управленческие навыки, Адаптация персонала, Мотивация персонала, Планирование, Лидерство, Английский — B2 — Средне-продвинутый"
UX/UI-дизайнер,3000,USD,3–6,Астана / Казахстан,https://hh.ru/vacancy/127326738,"Figma, UX, UI, Прототипирование, Minimal Viable Product, дата аналитика, Английский — B2 — Средне-продвинутый, Русский — C1 — Продвинутый"
Quantitative Researcher in Trading,5000,USD,0,Алматы / Казахстан,https://hh.ru/vacancy/127947138,"Python, C++, Data Analysis, Машинное обучение, Математическая статистика, Теория вероятностей, Линейная алгебра, Английский — B1 — Средний"
Бизнес-ассистент собственника (со знанием английского),150000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127698412,
Специалист по данным для нейронных сетей,100000,RUB,0,Новосибирск / Россия,https://hh.ru/vacancy/128121923,"Работа с базами данных, Тестирование баз данных, OC Ubuntu, CVAT, Ubuntu Server, Анализ тестирования, Преобразование данных"
Эксперт НСИ,165000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/125122958,
Middle Backend Developer (NodeJS),700000,KZT,3–6,Алматы / Казахстан,https://hh.ru/vacancy/128010997,
Аналитик 1С (стажер),35000,RUB,0,Москва / Россия,https://hh.ru/vacancy/128093512,"1С: Документооборот, MS PowerPoint, CRM, MS Access, 1С: Предприятие 8, 1С: CRM ПРОФ, 1С: Предприятие, 1С-Рарус, 1с:crm, BPMN, Бизнес-моделирование, Моделирование процессов, бизнес-процессы, 1С, 1c, Автоматизация, pmbook, babook, руководство проектом"
Системный аналитик (System analyst),350000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/107650317,"Системный анализ, BPMN, UML, SQL, REST, OpenAPI, Atlassian Jira, Atlassian Confluence, Agile"
Эксперт по автоматизации финансовых процессов,150000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/128081981,"Аналитическое мышление, Бизнес-анализ, Организация работы сотрудников, Автоматизация бизнес-процессов, Финансовая отчетность, Анализ бизнес-процессов, Реинжиниринг бизнес-процессов, Оптимизация бизнес-процессов, Системный анализ, Финансовый анализ, Корпоративные финансы, Управление бухгалтерией, Анализ затрат, Английский — B1 — Средний"
Программист / разработчик 1С ERP,250000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/124640201,
